date,port,wind_speed_kmh,wave_height_m,rainfall_mm,cyclone_alert_level,source
2019-01-06,IND_VZG,17.8,1.01,0.0,None,SYNTHETIC_DEMO
2019-01-06,IND_PAR,15.7,0.72,0.0,None,SYNTHETIC_DEMO
2019-01-06,IND_GVM,12.0,1.23,0.0,None,SYNTHETIC_DEMO
2019-01-06,IND_DHM,21.1,1.15,0.0,None,SYNTHETIC_DEMO
2019-01-06,IND_HLD,16.3,1.15,0.0,None,SYNTHETIC_DEMO
2019-01-06,IND_GOP,15.7,1.01,0.0,None,SYNTHETIC_DEMO
2019-01-06,AUS_NEW,17.6,0.77,0.0,None,SYNTHETIC_DEMO
2019-01-06,AUS_HAY,20.2,1.14,0.0,None,SYNTHETIC_DEMO
2019-01-06,IDN_TAB,16.8,1.0,0.0,None,SYNTHETIC_DEMO
2019-01-06,ZAF_RIC,8.6,0.91,0.0,None,SYNTHETIC_DEMO
2019-01-07,IND_VZG,13.8,0.88,0.0,None,SYNTHETIC_DEMO
2019-01-07,IND_PAR,18.4,0.73,0.0,None,SYNTHETIC_DEMO
2019-01-07,IND_GVM,17.6,1.44,0.0,None,SYNTHETIC_DEMO
2019-01-07,IND_DHM,9.9,0.77,0.0,None,SYNTHETIC_DEMO
2019-01-07,IND_HLD,16.2,1.34,0.0,None,SYNTHETIC_DEMO
2019-01-07,IND_GOP,17.8,0.77,0.0,None,SYNTHETIC_DEMO
2019-01-07,AUS_NEW,17.7,0.71,0.0,None,SYNTHETIC_DEMO
2019-01-07,AUS_HAY,13.7,0.89,0.0,None,SYNTHETIC_DEMO
2019-01-07,IDN_TAB,18.7,1.19,0.0,None,SYNTHETIC_DEMO
2019-01-07,ZAF_RIC,14.2,1.38,0.0,None,SYNTHETIC_DEMO
2019-01-08,IND_VZG,24.5,0.99,0.0,None,SYNTHETIC_DEMO
2019-01-08,IND_PAR,24.3,0.81,0.0,None,SYNTHETIC_DEMO
2019-01-08,IND_GVM,18.3,1.07,0.0,None,SYNTHETIC_DEMO
2019-01-08,IND_DHM,16.3,0.73,0.0,None,SYNTHETIC_DEMO
2019-01-08,IND_HLD,13.3,0.56,0.0,None,SYNTHETIC_DEMO
2019-01-08,IND_GOP,15.7,0.83,0.0,None,SYNTHETIC_DEMO
2019-01-08,AUS_NEW,10.4,1.31,0.0,None,SYNTHETIC_DEMO
2019-01-08,AUS_HAY,15.6,1.12,0.0,None,SYNTHETIC_DEMO
2019-01-08,IDN_TAB,13.5,1.91,0.0,None,SYNTHETIC_DEMO
2019-01-08,ZAF_RIC,15.1,0.91,0.0,None,SYNTHETIC_DEMO
2019-01-09,IND_VZG,18.0,0.99,0.0,None,SYNTHETIC_DEMO
2019-01-09,IND_PAR,17.4,1.3,0.0,None,SYNTHETIC_DEMO
2019-01-09,IND_GVM,10.2,1.5,0.0,None,SYNTHETIC_DEMO
2019-01-09,IND_DHM,15.1,1.38,0.0,None,SYNTHETIC_DEMO
2019-01-09,IND_HLD,11.4,1.45,0.0,None,SYNTHETIC_DEMO
2019-01-09,IND_GOP,18.0,0.85,0.0,None,SYNTHETIC_DEMO
2019-01-09,AUS_NEW,18.1,0.91,0.0,None,SYNTHETIC_DEMO
2019-01-09,AUS_HAY,17.7,1.39,0.0,None,SYNTHETIC_DEMO
2019-01-09,IDN_TAB,19.7,0.99,0.0,None,SYNTHETIC_DEMO
2019-01-09,ZAF_RIC,6.1,1.2,0.0,None,SYNTHETIC_DEMO
2019-01-10,IND_VZG,5.0,0.75,0.0,None,SYNTHETIC_DEMO
2019-01-10,IND_PAR,9.1,0.99,0.0,None,SYNTHETIC_DEMO
2019-01-10,IND_GVM,19.2,1.32,0.0,None,SYNTHETIC_DEMO
2019-01-10,IND_DHM,13.6,1.12,0.0,None,SYNTHETIC_DEMO
2019-01-10,IND_HLD,19.5,1.51,0.0,None,SYNTHETIC_DEMO
2019-01-10,IND_GOP,12.4,0.93,0.0,None,SYNTHETIC_DEMO
2019-01-10,AUS_NEW,15.0,0.99,0.0,None,SYNTHETIC_DEMO
2019-01-10,AUS_HAY,11.3,0.94,0.0,None,SYNTHETIC_DEMO
2019-01-10,IDN_TAB,15.6,1.12,0.0,None,SYNTHETIC_DEMO
2019-01-10,ZAF_RIC,14.8,1.43,0.0,None,SYNTHETIC_DEMO
2019-01-11,IND_VZG,11.6,1.44,0.0,None,SYNTHETIC_DEMO
2019-01-11,IND_PAR,14.7,1.51,0.0,None,SYNTHETIC_DEMO
2019-01-11,IND_GVM,18.5,0.89,0.0,None,SYNTHETIC_DEMO
2019-01-11,IND_DHM,15.1,1.28,0.0,None,SYNTHETIC_DEMO
2019-01-11,IND_HLD,11.5,1.36,0.0,None,SYNTHETIC_DEMO
2019-01-11,IND_GOP,13.4,1.37,0.0,None,SYNTHETIC_DEMO
2019-01-11,AUS_NEW,16.9,1.68,0.0,None,SYNTHETIC_DEMO
2019-01-11,AUS_HAY,20.7,1.32,0.0,None,SYNTHETIC_DEMO
2019-01-11,IDN_TAB,22.3,1.15,0.0,None,SYNTHETIC_DEMO
2019-01-11,ZAF_RIC,12.3,1.14,0.0,None,SYNTHETIC_DEMO
2019-01-12,IND_VZG,12.0,1.07,0.0,None,SYNTHETIC_DEMO
2019-01-12,IND_PAR,14.7,0.87,0.0,None,SYNTHETIC_DEMO
2019-01-12,IND_GVM,18.3,1.74,0.0,None,SYNTHETIC_DEMO
2019-01-12,IND_DHM,11.6,1.31,0.0,None,SYNTHETIC_DEMO
2019-01-12,IND_HLD,23.8,1.17,0.0,None,SYNTHETIC_DEMO
2019-01-12,IND_GOP,15.6,1.4,0.0,None,SYNTHETIC_DEMO
2019-01-12,AUS_NEW,9.3,1.35,0.0,None,SYNTHETIC_DEMO
2019-01-12,AUS_HAY,20.0,1.38,0.0,None,SYNTHETIC_DEMO
2019-01-12,IDN_TAB,9.0,1.5,0.0,None,SYNTHETIC_DEMO
2019-01-12,ZAF_RIC,16.3,1.07,0.0,None,SYNTHETIC_DEMO
2019-01-13,IND_VZG,18.8,0.94,0.0,None,SYNTHETIC_DEMO
2019-01-13,IND_PAR,15.0,1.48,0.0,None,SYNTHETIC_DEMO
2019-01-13,IND_GVM,16.7,1.48,0.0,None,SYNTHETIC_DEMO
2019-01-13,IND_DHM,13.7,1.32,0.0,None,SYNTHETIC_DEMO
2019-01-13,IND_HLD,11.6,1.15,0.0,None,SYNTHETIC_DEMO
2019-01-13,IND_GOP,12.9,1.75,0.0,None,SYNTHETIC_DEMO
2019-01-13,AUS_NEW,10.2,0.75,0.0,None,SYNTHETIC_DEMO
2019-01-13,AUS_HAY,13.9,1.42,0.0,None,SYNTHETIC_DEMO
2019-01-13,IDN_TAB,19.7,1.18,0.0,None,SYNTHETIC_DEMO
2019-01-13,ZAF_RIC,18.2,0.7,0.0,None,SYNTHETIC_DEMO
2019-01-14,IND_VZG,13.9,1.25,0.0,None,SYNTHETIC_DEMO
2019-01-14,IND_PAR,14.7,0.36,0.0,None,SYNTHETIC_DEMO
2019-01-14,IND_GVM,10.2,1.27,0.0,None,SYNTHETIC_DEMO
2019-01-14,IND_DHM,23.1,0.86,0.0,None,SYNTHETIC_DEMO
2019-01-14,IND_HLD,19.8,1.27,0.0,None,SYNTHETIC_DEMO
2019-01-14,IND_GOP,17.9,1.24,0.0,None,SYNTHETIC_DEMO
2019-01-14,AUS_NEW,16.2,1.09,0.0,None,SYNTHETIC_DEMO
2019-01-14,AUS_HAY,15.3,1.37,0.0,None,SYNTHETIC_DEMO
2019-01-14,IDN_TAB,19.1,1.19,0.0,None,SYNTHETIC_DEMO
2019-01-14,ZAF_RIC,14.9,0.85,0.0,None,SYNTHETIC_DEMO
2019-01-15,IND_VZG,15.3,1.39,0.0,None,SYNTHETIC_DEMO
2019-01-15,IND_PAR,14.4,0.9,0.0,None,SYNTHETIC_DEMO
2019-01-15,IND_GVM,20.5,1.02,0.0,None,SYNTHETIC_DEMO
2019-01-15,IND_DHM,17.4,0.97,0.0,None,SYNTHETIC_DEMO
2019-01-15,IND_HLD,12.3,1.75,0.0,None,SYNTHETIC_DEMO
2019-01-15,IND_GOP,16.3,1.88,0.0,None,SYNTHETIC_DEMO
2019-01-15,AUS_NEW,14.5,1.4,0.0,None,SYNTHETIC_DEMO
2019-01-15,AUS_HAY,15.1,1.33,0.0,None,SYNTHETIC_DEMO
2019-01-15,IDN_TAB,15.6,0.66,0.0,None,SYNTHETIC_DEMO
2019-01-15,ZAF_RIC,7.5,0.77,0.0,None,SYNTHETIC_DEMO
2019-01-16,IND_VZG,5.0,1.27,0.0,None,SYNTHETIC_DEMO
2019-01-16,IND_PAR,18.5,1.08,0.0,None,SYNTHETIC_DEMO
2019-01-16,IND_GVM,11.0,0.95,0.0,None,SYNTHETIC_DEMO
2019-01-16,IND_DHM,15.5,1.65,0.0,None,SYNTHETIC_DEMO
2019-01-16,IND_HLD,14.5,1.57,0.0,None,SYNTHETIC_DEMO
2019-01-16,IND_GOP,17.1,1.36,0.0,None,SYNTHETIC_DEMO
2019-01-16,AUS_NEW,15.3,1.05,0.0,None,SYNTHETIC_DEMO
2019-01-16,AUS_HAY,7.8,1.8,0.0,None,SYNTHETIC_DEMO
2019-01-16,IDN_TAB,13.1,1.09,0.0,None,SYNTHETIC_DEMO
2019-01-16,ZAF_RIC,19.8,0.45,0.0,None,SYNTHETIC_DEMO
2019-01-17,IND_VZG,14.5,1.81,0.0,None,SYNTHETIC_DEMO
2019-01-17,IND_PAR,15.8,0.9,0.0,None,SYNTHETIC_DEMO
2019-01-17,IND_GVM,10.7,1.14,0.0,None,SYNTHETIC_DEMO
2019-01-17,IND_DHM,22.7,1.31,0.0,None,SYNTHETIC_DEMO
2019-01-17,IND_HLD,12.6,1.07,0.0,None,SYNTHETIC_DEMO
2019-01-17,IND_GOP,11.3,1.25,0.0,None,SYNTHETIC_DEMO
2019-01-17,AUS_NEW,20.7,1.73,0.0,None,SYNTHETIC_DEMO
2019-01-17,AUS_HAY,14.1,0.97,0.0,None,SYNTHETIC_DEMO
2019-01-17,IDN_TAB,11.1,1.2,0.0,None,SYNTHETIC_DEMO
2019-01-17,ZAF_RIC,13.4,1.75,0.0,None,SYNTHETIC_DEMO
2019-01-18,IND_VZG,10.9,1.51,0.0,None,SYNTHETIC_DEMO
2019-01-18,IND_PAR,24.7,0.92,0.0,None,SYNTHETIC_DEMO
2019-01-18,IND_GVM,15.2,1.05,0.0,None,SYNTHETIC_DEMO
2019-01-18,IND_DHM,19.9,1.32,0.0,None,SYNTHETIC_DEMO
2019-01-18,IND_HLD,16.6,1.45,0.0,None,SYNTHETIC_DEMO
2019-01-18,IND_GOP,12.0,0.98,0.0,None,SYNTHETIC_DEMO
2019-01-18,AUS_NEW,15.3,0.99,0.0,None,SYNTHETIC_DEMO
2019-01-18,AUS_HAY,16.3,1.18,0.0,None,SYNTHETIC_DEMO
2019-01-18,IDN_TAB,19.6,1.51,0.0,None,SYNTHETIC_DEMO
2019-01-18,ZAF_RIC,16.2,0.76,0.0,None,SYNTHETIC_DEMO
2019-01-19,IND_VZG,11.1,0.76,0.0,None,SYNTHETIC_DEMO
2019-01-19,IND_PAR,17.6,0.97,0.0,None,SYNTHETIC_DEMO
2019-01-19,IND_GVM,20.4,1.14,0.0,None,SYNTHETIC_DEMO
2019-01-19,IND_DHM,12.5,1.15,0.0,None,SYNTHETIC_DEMO
2019-01-19,IND_HLD,11.1,0.36,0.0,None,SYNTHETIC_DEMO
2019-01-19,IND_GOP,10.7,1.38,0.0,None,SYNTHETIC_DEMO
2019-01-19,AUS_NEW,19.8,1.11,0.0,None,SYNTHETIC_DEMO
2019-01-19,AUS_HAY,14.3,1.45,0.0,None,SYNTHETIC_DEMO
2019-01-19,IDN_TAB,14.0,0.92,0.0,None,SYNTHETIC_DEMO
2019-01-19,ZAF_RIC,10.4,0.83,0.0,None,SYNTHETIC_DEMO
2019-01-20,IND_VZG,7.5,0.88,0.0,None,SYNTHETIC_DEMO
2019-01-20,IND_PAR,12.4,0.48,0.0,None,SYNTHETIC_DEMO
2019-01-20,IND_GVM,8.2,1.04,0.0,None,SYNTHETIC_DEMO
2019-01-20,IND_DHM,16.1,1.22,0.0,None,SYNTHETIC_DEMO
2019-01-20,IND_HLD,12.7,0.51,0.0,None,SYNTHETIC_DEMO
2019-01-20,IND_GOP,15.6,1.08,0.0,None,SYNTHETIC_DEMO
2019-01-20,AUS_NEW,19.8,1.05,0.0,None,SYNTHETIC_DEMO
2019-01-20,AUS_HAY,11.3,1.5,0.0,None,SYNTHETIC_DEMO
2019-01-20,IDN_TAB,20.8,1.52,0.0,None,SYNTHETIC_DEMO
2019-01-20,ZAF_RIC,11.6,0.7,0.0,None,SYNTHETIC_DEMO
2019-01-21,IND_VZG,10.6,1.51,0.0,None,SYNTHETIC_DEMO
2019-01-21,IND_PAR,18.6,1.63,0.0,None,SYNTHETIC_DEMO
2019-01-21,IND_GVM,15.8,1.17,0.0,None,SYNTHETIC_DEMO
2019-01-21,IND_DHM,16.6,0.99,0.0,None,SYNTHETIC_DEMO
2019-01-21,IND_HLD,18.5,1.69,0.0,None,SYNTHETIC_DEMO
2019-01-21,IND_GOP,12.3,1.01,0.0,None,SYNTHETIC_DEMO
2019-01-21,AUS_NEW,12.8,1.15,0.0,None,SYNTHETIC_DEMO
2019-01-21,AUS_HAY,17.3,1.33,0.0,None,SYNTHETIC_DEMO
2019-01-21,IDN_TAB,14.9,1.24,0.0,None,SYNTHETIC_DEMO
2019-01-21,ZAF_RIC,17.3,1.16,0.0,None,SYNTHETIC_DEMO
2019-01-22,IND_VZG,18.3,0.9,0.0,None,SYNTHETIC_DEMO
2019-01-22,IND_PAR,15.2,1.55,0.0,None,SYNTHETIC_DEMO
2019-01-22,IND_GVM,9.0,1.59,0.0,None,SYNTHETIC_DEMO
2019-01-22,IND_DHM,19.5,0.75,0.0,None,SYNTHETIC_DEMO
2019-01-22,IND_HLD,11.7,1.44,0.0,None,SYNTHETIC_DEMO
2019-01-22,IND_GOP,16.6,1.12,0.0,None,SYNTHETIC_DEMO
2019-01-22,AUS_NEW,13.5,0.95,0.0,None,SYNTHETIC_DEMO
2019-01-22,AUS_HAY,19.4,1.63,0.0,None,SYNTHETIC_DEMO
2019-01-22,IDN_TAB,11.1,0.81,0.0,None,SYNTHETIC_DEMO
2019-01-22,ZAF_RIC,11.5,1.01,0.0,None,SYNTHETIC_DEMO
2019-01-23,IND_VZG,18.0,0.58,0.0,None,SYNTHETIC_DEMO
2019-01-23,IND_PAR,15.9,0.62,0.0,None,SYNTHETIC_DEMO
2019-01-23,IND_GVM,12.3,0.59,0.0,None,SYNTHETIC_DEMO
2019-01-23,IND_DHM,10.6,0.91,0.0,None,SYNTHETIC_DEMO
2019-01-23,IND_HLD,12.5,1.24,0.0,None,SYNTHETIC_DEMO
2019-01-23,IND_GOP,19.1,1.43,0.0,None,SYNTHETIC_DEMO
2019-01-23,AUS_NEW,13.2,1.7,0.0,None,SYNTHETIC_DEMO
2019-01-23,AUS_HAY,14.4,0.93,0.0,None,SYNTHETIC_DEMO
2019-01-23,IDN_TAB,14.0,0.86,0.0,None,SYNTHETIC_DEMO
2019-01-23,ZAF_RIC,13.3,1.49,0.0,None,SYNTHETIC_DEMO
2019-01-24,IND_VZG,19.7,1.32,0.0,None,SYNTHETIC_DEMO
2019-01-24,IND_PAR,12.5,0.92,0.0,None,SYNTHETIC_DEMO
2019-01-24,IND_GVM,17.2,0.31,0.0,None,SYNTHETIC_DEMO
2019-01-24,IND_DHM,12.8,1.13,0.0,None,SYNTHETIC_DEMO
2019-01-24,IND_HLD,18.6,1.36,0.0,None,SYNTHETIC_DEMO
2019-01-24,IND_GOP,10.5,0.78,0.0,None,SYNTHETIC_DEMO
2019-01-24,AUS_NEW,8.4,1.37,0.0,None,SYNTHETIC_DEMO
2019-01-24,AUS_HAY,12.2,1.25,0.0,None,SYNTHETIC_DEMO
2019-01-24,IDN_TAB,17.8,1.29,0.0,None,SYNTHETIC_DEMO
2019-01-24,ZAF_RIC,15.0,1.05,0.0,None,SYNTHETIC_DEMO
2019-01-25,IND_VZG,19.7,1.01,0.0,None,SYNTHETIC_DEMO
2019-01-25,IND_PAR,11.5,0.86,0.0,None,SYNTHETIC_DEMO
2019-01-25,IND_GVM,14.8,1.39,0.0,None,SYNTHETIC_DEMO
2019-01-25,IND_DHM,20.5,0.8,0.0,None,SYNTHETIC_DEMO
2019-01-25,IND_HLD,19.5,0.4,0.0,None,SYNTHETIC_DEMO
2019-01-25,IND_GOP,13.9,0.86,0.0,None,SYNTHETIC_DEMO
2019-01-25,AUS_NEW,19.5,1.37,0.0,None,SYNTHETIC_DEMO
2019-01-25,AUS_HAY,13.9,1.36,0.0,None,SYNTHETIC_DEMO
2019-01-25,IDN_TAB,21.2,1.32,0.0,None,SYNTHETIC_DEMO
2019-01-25,ZAF_RIC,16.5,1.09,0.0,None,SYNTHETIC_DEMO
2019-01-26,IND_VZG,11.6,1.08,0.0,None,SYNTHETIC_DEMO
2019-01-26,IND_PAR,10.9,1.11,0.0,None,SYNTHETIC_DEMO
2019-01-26,IND_GVM,21.3,1.12,0.0,None,SYNTHETIC_DEMO
2019-01-26,IND_DHM,14.1,1.16,0.0,None,SYNTHETIC_DEMO
2019-01-26,IND_HLD,14.8,1.22,0.0,None,SYNTHETIC_DEMO
2019-01-26,IND_GOP,10.8,1.23,0.0,None,SYNTHETIC_DEMO
2019-01-26,AUS_NEW,15.8,1.7,0.0,None,SYNTHETIC_DEMO
2019-01-26,AUS_HAY,8.1,1.05,0.0,None,SYNTHETIC_DEMO
2019-01-26,IDN_TAB,10.9,1.31,0.0,None,SYNTHETIC_DEMO
2019-01-26,ZAF_RIC,13.6,0.86,0.0,None,SYNTHETIC_DEMO
2019-01-27,IND_VZG,14.4,0.73,0.0,None,SYNTHETIC_DEMO
2019-01-27,IND_PAR,14.1,1.17,0.0,None,SYNTHETIC_DEMO
2019-01-27,IND_GVM,17.7,1.61,0.0,None,SYNTHETIC_DEMO
2019-01-27,IND_DHM,12.2,1.18,0.0,None,SYNTHETIC_DEMO
2019-01-27,IND_HLD,22.6,1.1,0.0,None,SYNTHETIC_DEMO
2019-01-27,IND_GOP,17.6,0.96,0.0,None,SYNTHETIC_DEMO
2019-01-27,AUS_NEW,20.1,0.7,0.0,None,SYNTHETIC_DEMO
2019-01-27,AUS_HAY,17.5,1.03,0.0,None,SYNTHETIC_DEMO
2019-01-27,IDN_TAB,22.9,0.68,0.0,None,SYNTHETIC_DEMO
2019-01-27,ZAF_RIC,19.3,1.31,0.0,None,SYNTHETIC_DEMO
2019-01-28,IND_VZG,7.9,0.83,0.0,None,SYNTHETIC_DEMO
2019-01-28,IND_PAR,20.6,1.15,0.0,None,SYNTHETIC_DEMO
2019-01-28,IND_GVM,14.7,0.63,0.0,None,SYNTHETIC_DEMO
2019-01-28,IND_DHM,10.4,0.97,0.0,None,SYNTHETIC_DEMO
2019-01-28,IND_HLD,14.0,1.37,0.0,None,SYNTHETIC_DEMO
2019-01-28,IND_GOP,10.1,0.82,0.0,None,SYNTHETIC_DEMO
2019-01-28,AUS_NEW,23.9,0.39,0.0,None,SYNTHETIC_DEMO
2019-01-28,AUS_HAY,18.9,0.96,0.0,None,SYNTHETIC_DEMO
2019-01-28,IDN_TAB,9.1,1.4,0.0,None,SYNTHETIC_DEMO
2019-01-28,ZAF_RIC,12.9,1.23,0.0,None,SYNTHETIC_DEMO
2019-01-29,IND_VZG,14.5,0.93,0.0,None,SYNTHETIC_DEMO
2019-01-29,IND_PAR,14.0,1.08,0.0,None,SYNTHETIC_DEMO
2019-01-29,IND_GVM,10.8,0.57,0.0,None,SYNTHETIC_DEMO
2019-01-29,IND_DHM,23.3,1.19,0.0,None,SYNTHETIC_DEMO
2019-01-29,IND_HLD,13.4,0.98,0.0,None,SYNTHETIC_DEMO
2019-01-29,IND_GOP,23.3,0.66,0.0,None,SYNTHETIC_DEMO
2019-01-29,AUS_NEW,15.1,1.57,0.0,None,SYNTHETIC_DEMO
2019-01-29,AUS_HAY,17.8,1.34,0.0,None,SYNTHETIC_DEMO
2019-01-29,IDN_TAB,12.8,1.29,0.0,None,SYNTHETIC_DEMO
2019-01-29,ZAF_RIC,13.2,1.48,0.0,None,SYNTHETIC_DEMO
2019-01-30,IND_VZG,19.0,0.97,0.0,None,SYNTHETIC_DEMO
2019-01-30,IND_PAR,13.3,0.8,0.0,None,SYNTHETIC_DEMO
2019-01-30,IND_GVM,11.4,1.11,0.0,None,SYNTHETIC_DEMO
2019-01-30,IND_DHM,11.8,0.66,0.0,None,SYNTHETIC_DEMO
2019-01-30,IND_HLD,13.8,0.91,0.0,None,SYNTHETIC_DEMO
2019-01-30,IND_GOP,12.0,0.8,0.0,None,SYNTHETIC_DEMO
2019-01-30,AUS_NEW,13.1,0.73,0.0,None,SYNTHETIC_DEMO
2019-01-30,AUS_HAY,10.7,1.34,0.0,None,SYNTHETIC_DEMO
2019-01-30,IDN_TAB,11.6,0.91,0.0,None,SYNTHETIC_DEMO
2019-01-30,ZAF_RIC,21.4,0.68,0.0,None,SYNTHETIC_DEMO
2019-01-31,IND_VZG,17.0,1.04,0.0,None,SYNTHETIC_DEMO
2019-01-31,IND_PAR,9.7,0.99,0.0,None,SYNTHETIC_DEMO
2019-01-31,IND_GVM,14.3,1.19,0.0,None,SYNTHETIC_DEMO
2019-01-31,IND_DHM,17.0,1.09,0.0,None,SYNTHETIC_DEMO
2019-01-31,IND_HLD,14.4,1.45,0.0,None,SYNTHETIC_DEMO
2019-01-31,IND_GOP,16.6,0.75,0.0,None,SYNTHETIC_DEMO
2019-01-31,AUS_NEW,14.9,0.99,0.0,None,SYNTHETIC_DEMO
2019-01-31,AUS_HAY,14.0,1.22,0.0,None,SYNTHETIC_DEMO
2019-01-31,IDN_TAB,13.8,1.13,0.0,None,SYNTHETIC_DEMO
2019-01-31,ZAF_RIC,19.0,0.56,0.0,None,SYNTHETIC_DEMO
2019-02-01,IND_VZG,16.5,1.44,0.0,None,SYNTHETIC_DEMO
2019-02-01,IND_PAR,9.9,0.97,0.0,None,SYNTHETIC_DEMO
2019-02-01,IND_GVM,16.4,1.2,0.0,None,SYNTHETIC_DEMO
2019-02-01,IND_DHM,11.9,0.79,0.0,None,SYNTHETIC_DEMO
2019-02-01,IND_HLD,9.4,1.38,0.0,None,SYNTHETIC_DEMO
2019-02-01,IND_GOP,14.8,1.07,0.0,None,SYNTHETIC_DEMO
2019-02-01,AUS_NEW,13.7,1.5,0.0,None,SYNTHETIC_DEMO
2019-02-01,AUS_HAY,18.4,1.4,0.0,None,SYNTHETIC_DEMO
2019-02-01,IDN_TAB,16.0,1.11,0.0,None,SYNTHETIC_DEMO
2019-02-01,ZAF_RIC,11.7,0.82,0.0,None,SYNTHETIC_DEMO
2019-02-02,IND_VZG,13.0,1.13,0.0,None,SYNTHETIC_DEMO
2019-02-02,IND_PAR,13.1,1.27,0.0,None,SYNTHETIC_DEMO
2019-02-02,IND_GVM,20.1,1.55,0.0,None,SYNTHETIC_DEMO
2019-02-02,IND_DHM,14.7,0.75,0.0,None,SYNTHETIC_DEMO
2019-02-02,IND_HLD,15.2,1.24,0.0,None,SYNTHETIC_DEMO
2019-02-02,IND_GOP,18.5,0.53,0.0,None,SYNTHETIC_DEMO
2019-02-02,AUS_NEW,9.4,1.2,0.0,None,SYNTHETIC_DEMO
